Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,log_app_income,sqr_app_income,log_coapp_income,sqr_coapp_income,log_loan_amt,sqr_loan_amt,Total_Income,Total_Income_log,Total_Income_sqr,Payability,Payability_log,Payability_sqr,Credit_History_Payability,Loan_Status
LP002602,1,0,0,0,0,6283,4416.0,209.0,360.0,0.0,2,8.745602852402946,39476089,8.392989587956931,19501056.0,5.342334251964811,43681.0,10699.0,9.277905558138606,114468601.0,10490.0,9.258177701390343,110040100.0,0.0,0
LP001964,1,1,0,1,0,1800,2934.0,93.0,360.0,0.0,0,7.495541943884256,3240000,7.984121958702927,8608356.0,4.532599493153256,8649.0,4734.0,8.46252579007393,22410756.0,4641.0,8.442685139241176,21538881.0,0.0,0
LP002798,1,1,0,0,0,3887,2669.0,162.0,360.0,1.0,1,8.265392930852224,15108769,7.889459149404524,7123561.0,5.087596335232384,26244.0,6556.0,8.78813593986372,42981136.0,6394.0,8.763115329619787,40883236.0,6394.0,1
LP001925,0,0,0,0,1,2600,1717.0,99.0,300.0,1.0,1,7.8632667240095735,6760000,7.448333860897476,2948089.0,4.59511985013459,9801.0,4317.0,8.370315995555478,18636489.0,4218.0,8.34711636103872,17791524.0,4218.0,0
LP002936,1,1,0,0,0,3859,3300.0,142.0,180.0,1.0,2,8.258163361537619,14891881,8.101677747454572,10890000.0,4.955827057601261,20164.0,7159.0,8.876125585396185,51251281.0,7017.0,8.85609105525229,49238289.0,7017.0,1
LP002586,0,1,1,0,0,3326,913.0,105.0,84.0,1.0,1,8.109525659752872,11062276,6.816735880594968,833569.0,4.653960350157523,11025.0,4239.0,8.352082671352637,17969121.0,4134.0,8.327000740241713,17089956.0,4134.0,1
LP001333,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,7.589335823170617,3908529,6.904750769961838,994009.0,3.912023005428146,2500.0,2974.0,7.9976631270201,8844676.0,2924.0,7.980707820869669,8549776.0,2924.0,1
LP001507,1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,7.900266036767701,7279204,7.617759576608505,4137156.0,4.804021044733257,14884.0,4732.0,8.462103225098277,22391824.0,4610.0,8.435983135990694,21252100.0,4610.0,1
LP002788,1,1,0,1,0,2454,2333.0,181.0,360.0,0.0,0,7.805474625270857,6022116,7.75491027202143,5442889.0,5.198497031265826,32761.0,4787.0,8.473659189392508,22915369.0,4606.0,8.43511508038063,21215236.0,0.0,0
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,0,8.691986481789401,35462025,8.63497622707262,31640625.0,5.752572638825633,99225.0,11580.0,9.357034751126987,134096400.0,11265.0,9.329455852866344,126900225.0,11265.0,1
LP002615,1,1,2,0,0,4865,5624.0,208.0,360.0,1.0,1,8.489821994620105,23668225,8.6347984334905,31629376.0,5.337538079701318,43264.0,10489.0,9.258082367961604,110019121.0,10281.0,9.238052810542719,105698961.0,10281.0,1
LP002409,1,1,0,0,0,7901,1833.0,180.0,360.0,1.0,2,8.974744612722734,62425801,7.513709247839705,3359889.0,5.19295685089021,32400.0,9734.0,9.1833801903934,94750756.0,9554.0,9.164715193949908,91278916.0,9554.0,1
LP001565,1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,8.035602692918582,9541921,7.154615356913663,1638400.0,4.795790545596741,14641.0,4369.0,8.382289428951436,19088161.0,4248.0,8.354203562921775,18045504.0,0.0,0
LP001835,1,1,0,1,0,1668,3890.0,201.0,360.0,0.0,1,7.419380582918692,2782224,8.266164436612492,15132100.0,5.303304908059076,40401.0,5558.0,8.62299361030245,30891364.0,5357.0,8.58615939588096,28697449.0,0.0,0
LP002974,1,1,0,0,0,3232,1950.0,108.0,360.0,1.0,2,8.080856419640986,10445824,7.575584651557793,3802500.0,4.68213122712422,11664.0,5182.0,8.552946361122055,26853124.0,5074.0,8.531884740159228,25745476.0,5074.0,1
LP002515,1,1,1,0,1,3450,2079.0,162.0,360.0,1.0,1,8.146129510025405,11902500,7.639642287858013,4322241.0,5.087596335232384,26244.0,5529.0,8.617762246337932,30569841.0,5367.0,8.588024372176829,28804689.0,5367.0,1
LP002112,1,1,2,0,1,2500,4600.0,176.0,360.0,1.0,2,7.824046010856292,6250000,8.433811582477187,21160000.0,5.170483995038151,30976.0,7100.0,8.867850063029406,50410000.0,6924.0,8.8427489162961,47941776.0,6924.0,1
